iter	Passed	Remaining
0	1	1328
1	2	1226
2	3	1142
3	4	1110
4	5	1099
5	6	1094
6	7	1083
7	8	1076
8	9	1071
9	12	1262
10	14	1259
11	15	1246
12	16	1235
13	17	1215
14	18	1201
15	19	1190
16	20	1176
17	21	1164
18	22	1154
19	23	1146
20	24	1140
21	26	1155
22	28	1200
23	29	1195
24	30	1195
25	31	1197
26	33	1196
27	34	1192
28	35	1186
29	37	1197
30	38	1211
31	40	1230
32	43	1260
33	44	1269
34	47	1321
35	49	1313
36	50	1309
37	52	1329
38	56	1387
39	66	1606
40	68	1591
41	69	1581
42	76	1692
43	77	1682
44	82	1755
45	83	1738
46	84	1718
47	85	1703
48	87	1692
49	90	1711
50	91	1702
51	92	1686
52	93	1677
53	95	1665
54	96	1651
55	97	1642
56	98	1628
57	99	1616
58	100	1608
59	102	1598
60	105	1624
61	106	1617
62	109	1631
63	110	1619
64	112	1611
65	113	1601
66	114	1590
67	115	1580
68	116	1571
69	117	1559
70	121	1588
71	122	1583
72	123	1572
73	125	1575
74	127	1569
75	128	1562
76	129	1553
77	130	1545
78	131	1534
79	132	1524
80	136	1543
81	137	1535
82	137	1521
83	138	1514
84	140	1508
85	141	1499
86	142	1490
87	143	1483
88	144	1476
89	145	1467
90	146	1459
91	146	1450
92	147	1442
93	150	1448
94	151	1443
95	153	1448
96	154	1440
97	155	1432
98	156	1423
99	157	1416
100	158	1408
101	159	1400
102	160	1394
103	161	1387
104	161	1380
105	162	1372
106	165	1380
107	166	1375
108	167	1368
109	168	1363
110	169	1360
111	170	1355
112	171	1348
113	172	1342
114	173	1336
115	175	1333
116	175	1326
117	176	1321
118	180	1339
119	182	1337
120	183	1333
121	184	1328
122	185	1324
123	186	1320
124	188	1316
125	189	1312
126	190	1306
127	191	1302
128	200	1355
129	203	1361
130	205	1363
131	207	1361
132	219	1428
133	221	1430
134	222	1426
135	229	1457
136	231	1461
137	233	1456
138	235	1455
139	236	1453
140	237	1448
141	238	1442
142	243	1459
143	259	1544
144	275	1622
145	289	1690
146	291	1689
147	293	1688
148	296	1693
149	298	1691
150	299	1686
151	301	1682
152	303	1678
153	304	1673
154	306	1670
155	309	1673
156	313	1681
157	314	1677
158	316	1672
159	317	1666
160	318	1658
161	319	1654
162	321	1651
163	322	1646
164	324	1640
165	325	1636
166	327	1633
167	328	1629
168	330	1626
169	331	1620
170	333	1615
171	334	1609
172	335	1604
173	336	1599
174	337	1593
175	339	1587
176	340	1581
177	342	1580
178	343	1575
179	344	1569
180	347	1570
181	348	1568
182	351	1568
183	354	1570
184	355	1565
185	357	1565
186	359	1560
187	360	1555
188	361	1549
189	362	1544
190	363	1539
191	364	1534
192	365	1529
193	366	1524
194	367	1518
195	369	1514
196	371	1513
197	373	1511
198	374	1506
199	375	1500
200	376	1495
201	377	1491
202	378	1486
203	379	1482
204	380	1476
205	381	1470
206	382	1465
207	383	1459
208	384	1454
209	386	1455
210	389	1455
211	390	1449
212	390	1444
213	391	1439
214	392	1433
215	393	1428
216	394	1423
217	395	1417
218	396	1412
219	396	1407
220	397	1401
221	398	1396
222	399	1391
223	402	1393
224	404	1394
225	405	1389
226	407	1388
227	408	1384
228	409	1380
229	410	1375
230	412	1372
231	413	1367
232	414	1363
233	414	1358
234	416	1356
235	417	1351
236	418	1346
237	419	1341
238	419	1337
239	421	1335
240	422	1331
241	424	1328
242	425	1324
243	426	1320
244	427	1316
245	428	1313
246	430	1311
247	431	1308
248	432	1303
249	433	1299
250	434	1295
251	434	1290
252	436	1288
253	437	1285
254	438	1281
255	439	1277
256	479	1386
257	480	1383
258	482	1379
259	483	1376
260	485	1375
261	487	1373
262	489	1372
263	491	1369
264	492	1366
265	495	1368
266	498	1367
267	499	1364
268	502	1365
269	503	1362
270	505	1359
271	506	1356
272	512	1363
273	513	1360
274	516	1360
275	530	1390
276	534	1394
277	535	1391
278	537	1388
279	538	1384
280	539	1381
281	542	1380
282	543	1376
283	544	1373
284	546	1370
285	548	1368
286	549	1365
287	552	1364
288	553	1361
289	555	1358
290	558	1359
291	559	1356
292	561	1353
293	562	1350
294	563	1347
295	570	1356
296	572	1354
297	573	1351
298	575	1348
299	576	1344
300	577	1341
301	579	1340
302	581	1337
303	582	1333
304	584	1332
305	587	1332
306	588	1329
307	590	1326
308	591	1322
309	593	1321
310	594	1318
311	597	1316
312	598	1313
313	600	1311
314	610	1327
315	612	1326
316	615	1326
317	619	1327
318	620	1325
319	622	1322
320	623	1319
321	625	1316
322	626	1313
323	628	1310
324	629	1307
325	632	1306
326	633	1303
327	634	1300
328	638	1302
329	639	1298
330	641	1297
331	643	1294
332	644	1291
333	647	1290
334	648	1286
335	648	1282
336	650	1278
337	650	1274
338	651	1271
339	653	1267
340	654	1264
341	655	1260
342	655	1256
343	656	1252
344	657	1248
345	658	1244
346	659	1241
347	661	1239
348	662	1235
349	663	1231
350	663	1227
351	664	1223
352	665	1220
353	666	1216
354	667	1213
355	668	1209
356	669	1205
357	670	1202
358	671	1198
359	672	1194
360	673	1191
361	674	1188
362	676	1187
363	677	1183
364	678	1180
365	679	1176
366	680	1172
367	680	1169
368	682	1166
369	683	1163
370	684	1159
371	685	1156
372	686	1153
373	687	1150
374	689	1148
375	691	1147
376	692	1144
377	693	1141
378	694	1137
379	695	1134
380	696	1131
381	697	1129
382	698	1125
383	699	1122
384	700	1119
385	701	1116
386	702	1112
387	703	1109
388	704	1106
389	705	1103
390	706	1100
391	707	1096
392	708	1093
393	708	1090
394	709	1087
395	710	1084
396	711	1081
397	712	1078
398	713	1074
399	714	1071
400	715	1068
401	716	1065
402	716	1062
403	718	1059
404	719	1056
405	720	1054
406	721	1050
407	722	1047
408	722	1044
409	723	1041
410	724	1038
411	726	1036
412	727	1033
413	728	1031
414	729	1028
415	730	1025
416	731	1022
417	732	1019
418	733	1016
419	734	1014
420	735	1011
421	736	1008
422	737	1005
423	738	1002
424	738	999
425	740	997
426	741	995
427	742	992
428	743	989
429	744	986
430	745	983
431	746	980
432	746	977
433	748	975
434	749	972
435	749	970
436	750	967
437	751	964
438	752	961
439	753	958
440	754	956
441	755	954
442	756	951
443	758	949
444	759	947
445	760	944
446	761	941
447	762	940
448	764	937
449	765	935
450	766	932
451	767	930
452	769	929
453	770	927
454	771	924
455	773	922
456	774	919
457	775	917
458	776	915
459	777	913
460	778	910
461	779	907
462	780	905
463	781	903
464	783	901
465	784	898
466	785	896
467	786	894
468	787	891
469	788	888
470	789	886
471	789	883
472	791	881
473	792	879
474	793	876
475	794	874
476	795	871
477	796	869
478	797	867
479	798	864
480	799	862
481	800	860
482	801	857
483	802	855
484	803	852
485	803	850
486	804	847
487	806	846
488	807	844
489	809	842
490	811	840
491	815	841
492	816	839
493	817	837
494	818	834
495	819	832
496	820	830
497	824	831
498	825	829
499	826	826
500	827	824
501	828	822
502	829	820
503	830	817
504	832	815
505	833	813
506	834	811
507	835	808
508	837	807
509	838	806
510	839	803
511	840	801
512	841	799
513	843	797
514	844	795
515	846	793
516	847	791
517	848	789
518	849	787
519	852	786
520	853	784
521	854	782
522	855	780
523	856	778
524	858	777
525	860	775
526	861	773
527	862	770
528	863	768
529	864	766
530	864	763
531	867	763
532	868	761
533	869	759
534	871	757
535	872	755
536	874	754
537	875	752
538	877	750
539	878	748
540	879	746
541	880	744
542	882	742
543	883	740
544	884	738
545	885	736
546	886	734
547	888	732
548	889	730
549	890	728
550	891	726
551	891	723
552	892	721
553	893	719
554	894	717
555	895	715
556	896	713
557	897	711
558	898	708
559	899	706
560	900	705
561	902	703
562	903	701
563	904	699
564	905	697
565	906	695
566	907	693
567	909	691
568	910	689
569	911	687
570	912	685
571	913	683
572	914	681
573	915	679
574	916	677
575	918	675
576	919	673
577	920	671
578	920	669
